N, T, Dc, Dp, Dg, Dt, E:
20,1,  0.000019,  0.000114,  0.000023,  0.000156, 0.001009
20,2,  0.000026,  0.000268,  0.000032,  0.000326, 0.000494
20,3,  0.000027,  0.000337,  0.000038,  0.000403, 0.000896
20,5,  0.000029,  0.000341,  0.000030,  0.000400, 0.000813
20,10,  0.000026,  0.000615,  0.000023,  0.000664, 0.000500
20,20,  0.000027,  0.001744,  0.000029,  0.001800, 0.000856

100,1,  0.000046,  0.001855,  0.000032,  0.001932, 0.004872
100,2,  0.000044,  0.002020,  0.000030,  0.002094, 0.004633
100,3,  0.000045,  0.001729,  0.000034,  0.001808, 0.004650
100,5,  0.000043,  0.001514,  0.000030,  0.001587, 0.005060
100,10,  0.000043,  0.002011,  0.000015,  0.002069, 0.004895
100,20,  0.000032,  0.006024,  0.000050,  0.006105, 0.004674

1000,1,  0.001710,  1.266852,  0.000274,  1.268837, 0.052368
1000,2,  0.001594,  0.648758,  0.000277,  0.650628, 0.051813
1000,3,  0.001631,  0.460250,  0.000217,  0.462098, 0.051493
1000,5,  0.001479,  0.303680,  0.000297,  0.305456, 0.051665
1000,10,  0.001783,  0.269492,  0.000193,  0.271468, 0.051792
1000,20,  0.001319,  0.235389,  0.000146,  0.236854, 0.051907

10000,1,  0.119380,  1204.521713,  0.008414,  1204.649507, 0.524399
10000,2,  0.119802,  612.836637,  0.010523,  612.966962, 0.524174
10000,3,  0.121118,  415.357233,  0.011189,  415.489540, 0.524595
10000,5,  0.118932,  275.580968,  0.009209,  275.709109, 0.524360
10000,10,  0.118875,  235.614521,  0.010519,  235.743915, 0.524992
10000,20,  0.117436,  168.172153,  0.010149,  168.299738, 0.524150

20000,1,  0.466706,  9622.843280,  0.035170,  9623.345156, 1.048795
20000,2,  0.465133,  4903.161164,  0.035293,  4903.661590, 1.049973
20000,3,  0.466420,  3306.536839,  0.034618,  3307.037877, 1.049324
20000,5,  0.466616,  2177.891327,  0.035848,  2178.393792, 1.048974
20000,10,  0.468006,  1634.446636,  0.035849,  1634.950491, 1.049362
20000,20,  0.468210,  1309.506486,  0.036937,  1310.011632, 1.049785
